timestamp;KAHL1 [A];KAHL2 [A]
2026-02-18 00:00:29;3;186
2026-02-18 00:00:39;3;170
2026-02-18 00:00:59;3;194
2026-02-18 00:01:09;3;160
2026-02-18 00:01:19;3;171
2026-02-18 00:01:39;3;152
2026-02-18 00:01:49;3;175
2026-02-18 00:02:19;3;162
2026-02-18 00:02:39;3;187
2026-02-18 00:02:49;3;166
2026-02-18 00:03:39;3;191
2026-02-18 00:03:49;3;163
2026-02-18 00:03:59;70;171
2026-02-18 00:04:09;70;161
2026-02-18 00:04:19;75;176
2026-02-18 00:04:29;85;172
2026-02-18 00:04:39;120;164
2026-02-18 00:04:49;178;169
2026-02-18 00:04:59;166;171
2026-02-18 00:05:09;134;158
2026-02-18 00:05:19;104;174
2026-02-18 00:05:39;80;175
2026-02-18 00:05:49;75;162
2026-02-18 00:05:59;89;172
2026-02-18 00:06:09;143;166
2026-02-18 00:06:19;124;171
2026-02-18 00:06:29;104;149
2026-02-18 00:06:39;118;172
2026-02-18 00:06:49;89;147
2026-02-18 00:06:59;79;185
2026-02-18 00:07:09;93;154
2026-02-18 00:07:19;163;177
2026-02-18 00:07:29;85;159
2026-02-18 00:07:39;113;169
2026-02-18 00:07:49;167;177
2026-02-18 00:07:59;90;163
2026-02-18 00:08:09;128;160
2026-02-18 00:08:19;85;152
2026-02-18 00:08:29;80;175
2026-02-18 00:08:39;186;160
2026-02-18 00:08:49;80;169
2026-02-18 00:08:59;103;170
2026-02-18 00:09:09;80;170
2026-02-18 00:09:19;79;189
2026-02-18 00:09:29;166;162
2026-02-18 00:09:39;211;171
2026-02-18 00:09:49;104;174
2026-02-18 00:09:59;89;172
2026-02-18 00:10:49;158;174
2026-02-18 00:10:59;123;164
2026-02-18 00:11:09;99;159
2026-02-18 00:11:19;99;174
2026-02-18 00:11:29;104;163
2026-02-18 00:11:39;104;193
2026-02-18 00:11:49;111;164
2026-02-18 00:12:19;127;142
2026-02-18 00:12:29;128;182
2026-02-18 00:12:49;130;168
2026-02-18 00:12:59;138;189
2026-02-18 00:13:09;139;164
2026-02-18 00:13:19;159;153
2026-02-18 00:13:29;147;179
2026-02-18 00:13:49;161;166
2026-02-18 00:13:59;162;182
2026-02-18 00:14:19;167;170
2026-02-18 00:14:39;173;181
2026-02-18 00:14:49;178;169
2026-02-18 00:14:59;176;180
2026-02-18 00:15:09;163;180
2026-02-18 00:15:20;173;177
2026-02-18 00:15:29;183;184
2026-02-18 00:15:39;173;185
2026-02-18 00:15:49;171;162
2026-02-18 00:15:59;184;172
2026-02-18 00:16:19;173;170
2026-02-18 00:16:29;173;185
2026-02-18 00:16:39;179;175
2026-02-18 00:16:49;169;167
2026-02-18 00:17:09;168;180
2026-02-18 00:17:19;172;153
2026-02-18 00:17:29;168;179
2026-02-18 00:17:49;180;161
2026-02-18 00:17:59;177;184
2026-02-18 00:18:09;170;162
2026-02-18 00:18:19;172;185
2026-02-18 00:18:29;161;175
2026-02-18 00:18:49;163;191
2026-02-18 00:19:00;179;153
2026-02-18 00:19:10;177;189
2026-02-18 00:19:19;177;169
2026-02-18 00:19:40;177;183
2026-02-18 00:19:49;172;169
2026-02-18 00:19:59;183;172
2026-02-18 00:20:09;163;191
2026-02-18 00:20:20;182;172
2026-02-18 00:20:30;169;185
2026-02-18 00:20:39;172;157
2026-02-18 00:20:49;173;198
2026-02-18 00:21:00;171;165
2026-02-18 00:21:19;170;175
2026-02-18 00:21:30;168;158
2026-02-18 00:21:40;182;161
2026-02-18 00:21:50;172;184
2026-02-18 00:21:59;172;171
2026-02-18 00:22:20;162;164
2026-02-18 00:22:39;163;190
2026-02-18 00:22:50;162;161
2026-02-18 00:23:09;172;180
2026-02-18 00:23:19;149;174
2026-02-18 00:23:30;172;146
2026-02-18 00:23:40;163;172
2026-02-18 00:24:10;151;176
2026-02-18 00:24:20;166;147
2026-02-18 00:24:29;160;183
2026-02-18 00:24:40;163;133
2026-02-18 00:24:50;167;177
2026-02-18 00:25:00;159;148
2026-02-18 00:25:09;153;175
2026-02-18 00:25:20;158;131
2026-02-18 00:25:30;167;148
2026-02-18 00:25:40;153;158
2026-02-18 00:25:49;153;171
2026-02-18 00:26:00;163;161
2026-02-18 00:26:29;148;168
2026-02-18 00:26:50;158;157
2026-02-18 00:27:09;168;169
2026-02-18 00:27:20;156;153
2026-02-18 00:27:30;162;188
2026-02-18 00:27:40;158;162
2026-02-18 00:28:00;167;182
2026-02-18 00:28:10;158;156
2026-02-18 00:28:19;161;138
2026-02-18 00:28:29;166;173
2026-02-18 00:28:40;161;155
2026-02-18 00:28:49;167;177
2026-02-18 00:29:00;164;162
2026-02-18 00:29:10;168;152
2026-02-18 00:29:20;158;170
2026-02-18 00:29:30;153;153
2026-02-18 00:29:50;166;148
2026-02-18 00:30:00;162;172
2026-02-18 00:30:10;152;160
2026-02-18 00:30:50;162;141
2026-02-18 00:31:00;161;168
2026-02-18 00:31:40;158;145
2026-02-18 00:32:00;158;166
2026-02-18 00:32:40;169;155
2026-02-18 00:33:10;158;162
2026-02-18 00:33:30;162;141
2026-02-18 00:33:40;166;176
2026-02-18 00:33:50;158;148
2026-02-18 00:34:00;162;164
2026-02-18 00:34:30;164;142
2026-02-18 00:34:40;152;165
2026-02-18 00:34:50;156;153
2026-02-18 00:35:00;150;186
2026-02-18 00:35:10;153;163
2026-02-18 00:35:50;148;153
2026-02-18 00:36:00;158;161
2026-02-18 00:36:10;163;145
2026-02-18 00:36:20;158;182
2026-02-18 00:36:30;163;144
2026-02-18 00:36:40;158;160
2026-02-18 00:36:50;152;183
2026-02-18 00:37:00;163;174
2026-02-18 00:37:10;167;152
2026-02-18 00:37:20;172;177
2026-02-18 00:37:30;152;169
2026-02-18 00:37:40;168;155
2026-02-18 00:37:50;162;171
2026-02-18 00:38:00;158;191
2026-02-18 00:38:10;173;160
2026-02-18 00:38:20;163;184
2026-02-18 00:38:30;169;154
2026-02-18 00:38:40;166;168
2026-02-18 00:39:00;167;180
2026-02-18 00:39:10;167;167
2026-02-18 00:39:20;174;150
2026-02-18 00:39:40;169;183
2026-02-18 00:40:10;158;157
2026-02-18 00:40:20;165;191
2026-02-18 00:40:30;172;147
2026-02-18 00:40:40;177;168
2026-02-18 00:41:40;184;183
2026-02-18 00:41:50;157;165
2026-02-18 00:42:00;177;183
2026-02-18 00:42:10;172;169
2026-02-18 00:42:30;159;165
2026-02-18 00:42:50;177;188
2026-02-18 00:43:00;177;173
2026-02-18 00:43:10;163;184
2026-02-18 00:43:20;173;177
2026-02-18 00:44:30;171;153
2026-02-18 00:44:40;177;167
2026-02-18 00:45:00;167;173
2026-02-18 00:45:10;164;193
2026-02-18 00:45:20;177;184
2026-02-18 00:45:30;168;158
2026-02-18 00:45:50;158;166
2026-02-18 00:46:10;175;176
2026-02-18 00:46:20;162;177
2026-02-18 00:47:00;173;201
2026-02-18 00:47:10;178;188
2026-02-18 00:47:30;167;194
2026-02-18 00:47:40;191;170
2026-02-18 00:48:00;175;214
2026-02-18 00:48:10;182;200
2026-02-18 00:48:30;172;188
2026-02-18 00:48:40;173;203
2026-02-18 00:48:50;182;192
2026-02-18 00:49:00;197;92
2026-02-18 00:49:10;182;91
2026-02-18 00:49:30;167;84
2026-02-18 00:49:50;181;79
2026-02-18 00:50:00;172;22
2026-02-18 00:50:10;180;2
2026-02-18 00:50:30;163;0
2026-02-18 00:50:40;173;0
2026-02-18 00:52:10;151;0
2026-02-18 00:52:20;164;0
2026-02-18 00:52:40;177;0
2026-02-18 00:54:00;162;0
2026-02-18 00:54:10;180;0
2026-02-18 00:54:40;168;0
2026-02-18 00:55:20;182;0
2026-02-18 00:55:50;172;0
2026-02-18 00:56:20;157;0
2026-02-18 00:56:30;175;0
2026-02-18 00:56:50;161;0
2026-02-18 00:57:10;177;0
2026-02-18 00:57:30;161;0
2026-02-18 00:58:10;172;0
2026-02-18 00:58:40;182;0
2026-02-18 00:59:00;172;0
2026-02-18 00:59:30;183;0
2026-02-18 00:59:40;172;0
2026-02-18 01:00:40;162;0
2026-02-18 01:00:50;178;0
2026-02-18 01:01:00;162;0
2026-02-18 01:01:10;177;0
2026-02-18 01:01:20;167;0
2026-02-18 01:03:00;179;0
2026-02-18 01:03:30;158;0
2026-02-18 01:03:50;172;0
2026-02-18 01:05:00;158;0
2026-02-18 01:05:10;177;0
2026-02-18 01:06:20;162;0
2026-02-18 01:07:20;148;0
2026-02-18 01:07:30;163;0
2026-02-18 01:08:50;149;0
2026-02-18 01:09:10;164;0
2026-02-18 01:11:30;148;0
2026-02-18 01:11:40;162;0
2026-02-18 01:12:40;177;0
2026-02-18 01:13:00;153;0
2026-02-18 01:13:10;163;0
2026-02-18 01:14:10;173;0
2026-02-18 01:14:20;162;0
2026-02-18 01:14:40;172;0
2026-02-18 01:15:10;153;0
2026-02-18 01:15:20;173;0
2026-02-18 01:15:40;163;0
2026-02-18 01:18:10;177;0
2026-02-18 01:18:20;167;0
2026-02-18 01:19:00;157;0
2026-02-18 01:19:40;172;0
2026-02-18 01:20:20;158;0
2026-02-18 01:20:40;148;0
2026-02-18 01:20:50;173;0
2026-02-18 01:21:20;162;0
2026-02-18 01:21:50;173;0
2026-02-18 01:22:30;162;0
2026-02-18 01:23:50;152;0
2026-02-18 01:24:00;166;0
2026-02-18 01:24:50;156;0
2026-02-18 01:25:40;169;0
2026-02-18 01:26:20;153;0
2026-02-18 01:26:40;168;0
2026-02-18 01:27:10;182;0
2026-02-18 01:27:20;172;0
2026-02-18 01:27:30;162;0
2026-02-18 01:28:20;177;0
2026-02-18 01:28:30;167;0
2026-02-18 01:39:21;178;0
2026-02-18 01:40:00;166;0
2026-02-18 01:43:21;151;0
2026-02-18 01:43:30;172;0
2026-02-18 01:43:40;160;0
2026-02-18 01:44:10;173;0
2026-02-18 01:44:20;159;0
2026-02-18 01:44:50;173;0
2026-02-18 01:45:51;162;0
2026-02-18 01:46:01;172;0
2026-02-18 01:46:21;162;0
2026-02-18 01:47:01;172;0
2026-02-18 01:47:21;158;0
2026-02-18 01:47:30;172;0
2026-02-18 01:47:41;162;0
2026-02-18 01:48:01;151;0
2026-02-18 01:48:10;172;0
2026-02-18 01:48:31;162;0
2026-02-18 01:48:41;172;0
2026-02-18 01:50:10;162;0
2026-02-18 01:50:20;172;0
2026-02-18 01:50:50;162;0
2026-02-18 01:51:21;172;0
2026-02-18 01:52:01;162;0
2026-02-18 01:52:51;173;0
2026-02-18 01:55:41;161;0
2026-02-18 01:56:01;177;0
2026-02-18 01:57:01;165;0
2026-02-18 01:57:11;176;0
2026-02-18 01:59:51;172;101
2026-02-18 02:00:01;170;80
2026-02-18 02:00:11;192;80
2026-02-18 02:00:21;177;84
2026-02-18 02:00:31;167;88
2026-02-18 02:01:01;178;109
2026-02-18 02:01:11;175;223
2026-02-18 02:01:21;176;126
2026-02-18 02:01:31;169;85
2026-02-18 02:01:41;183;78
2026-02-18 02:02:01;187;8
2026-02-18 02:02:11;171;276
2026-02-18 02:02:21;180;75
2026-02-18 02:02:31;167;75
2026-02-18 02:02:41;183;81
2026-02-18 02:02:51;176;97
2026-02-18 02:03:01;162;152
2026-02-18 02:03:11;168;137
2026-02-18 02:03:21;173;120
2026-02-18 02:03:41;173;160
2026-02-18 02:03:51;173;150
2026-02-18 02:04:01;171;132
2026-02-18 02:04:21;174;113
2026-02-18 02:04:41;169;137
2026-02-18 02:04:51;167;153
2026-02-18 02:05:01;173;128
2026-02-18 02:05:11;186;150
2026-02-18 02:05:21;172;148
2026-02-18 02:05:31;177;135
2026-02-18 02:05:41;176;116
2026-02-18 02:05:51;172;166
2026-02-18 02:06:11;179;138
2026-02-18 02:06:21;166;140
2026-02-18 02:06:41;169;179
2026-02-18 02:06:51;173;151
2026-02-18 02:07:01;174;162
2026-02-18 02:07:31;178;142
2026-02-18 02:07:41;172;153
2026-02-18 02:07:51;167;174
2026-02-18 02:08:01;167;155
2026-02-18 02:08:11;168;165
2026-02-18 02:08:21;166;178
2026-02-18 02:08:31;175;163
2026-02-18 02:08:41;166;190
2026-02-18 02:08:51;170;152
2026-02-18 02:09:01;157;147
2026-02-18 02:09:11;171;139
2026-02-18 02:09:21;157;145
2026-02-18 02:09:31;167;149
2026-02-18 02:09:41;167;177
2026-02-18 02:09:51;166;196
2026-02-18 02:10:01;163;184
2026-02-18 02:10:21;182;176
2026-02-18 02:10:31;167;161
2026-02-18 02:10:51;177;156
2026-02-18 02:11:01;171;171
2026-02-18 02:11:11;174;156
2026-02-18 02:11:21;164;170
2026-02-18 02:11:31;162;147
2026-02-18 02:11:41;157;166
2026-02-18 02:11:51;167;148
2026-02-18 02:12:01;168;182
2026-02-18 02:12:11;162;150
2026-02-18 02:12:21;171;167
2026-02-18 02:12:31;167;153
2026-02-18 02:12:51;174;176
2026-02-18 02:13:01;173;164
2026-02-18 02:13:11;171;145
2026-02-18 02:13:21;156;147
2026-02-18 02:13:31;163;160
2026-02-18 02:13:41;163;176
2026-02-18 02:13:51;162;149
2026-02-18 02:14:11;158;139
2026-02-18 02:14:31;158;159
2026-02-18 02:14:41;166;137
2026-02-18 02:14:51;158;166
2026-02-18 02:15:01;166;135
2026-02-18 02:15:11;159;148
2026-02-18 02:15:31;164;182
2026-02-18 02:15:41;167;163
2026-02-18 02:16:02;158;183
2026-02-18 02:16:11;158;147
2026-02-18 02:16:21;167;164
2026-02-18 02:16:32;159;148
2026-02-18 02:16:41;158;167
2026-02-18 02:16:51;157;135
2026-02-18 02:17:01;167;158
2026-02-18 02:17:12;158;169
2026-02-18 02:17:22;160;136
2026-02-18 02:17:31;162;157
2026-02-18 02:19:01;157;147
2026-02-18 02:19:21;158;169
2026-02-18 02:19:52;148;143
2026-02-18 02:20:01;162;157
2026-02-18 02:20:42;163;169
2026-02-18 02:21:02;152;140
2026-02-18 02:21:12;157;153
2026-02-18 02:21:21;153;170
2026-02-18 02:21:31;163;152
2026-02-18 02:21:42;159;137
2026-02-18 02:22:02;162;173
2026-02-18 02:22:11;165;158
2026-02-18 02:22:22;172;141
2026-02-18 02:22:32;158;155
2026-02-18 02:23:12;158;145
2026-02-18 02:23:21;158;155
2026-02-18 02:23:42;168;151
2026-02-18 02:24:01;152;130
2026-02-18 02:24:12;156;167
2026-02-18 02:24:22;156;155
2026-02-18 02:25:21;161;144
2026-02-18 02:25:52;152;168
2026-02-18 02:26:01;153;152
2026-02-18 02:27:12;150;162
2026-02-18 02:27:32;153;142
2026-02-18 02:27:42;152;175
2026-02-18 02:27:51;152;135
2026-02-18 02:28:12;148;150
2026-02-18 02:28:22;158;148
2026-02-18 02:28:32;153;158
2026-02-18 02:28:52;156;141
2026-02-18 02:29:21;152;155
2026-02-18 02:29:41;167;166
2026-02-18 02:29:52;157;146
2026-02-18 02:30:01;167;158
2026-02-18 02:30:11;156;134
2026-02-18 02:30:22;162;166
2026-02-18 02:30:32;159;152
2026-02-18 02:30:52;157;137
2026-02-18 02:31:02;157;154
2026-02-18 02:31:12;151;126
2026-02-18 02:31:21;148;163
2026-02-18 02:31:32;152;150
2026-02-18 02:32:42;153;160
2026-02-18 02:33:12;160;148
2026-02-18 02:33:22;141;135
2026-02-18 02:33:32;152;143
2026-02-18 02:33:52;158;154
2026-02-18 02:34:02;162;135
2026-02-18 02:34:12;158;146
2026-02-18 02:34:42;153;158
2026-02-18 02:34:52;158;134
2026-02-18 02:35:02;163;159
2026-02-18 02:35:12;157;147
2026-02-18 02:35:32;158;160
2026-02-18 02:35:42;153;140
2026-02-18 02:35:51;164;148
2026-02-18 02:36:02;156;166
2026-02-18 02:36:11;165;134
2026-02-18 02:36:21;157;162
2026-02-18 02:36:31;151;143
2026-02-18 02:36:42;167;164
2026-02-18 02:36:51;167;139
2026-02-18 02:37:02;168;155
2026-02-18 02:37:22;158;179
2026-02-18 02:37:31;172;153
2026-02-18 02:37:42;172;181
2026-02-18 02:37:52;172;196
2026-02-18 02:38:02;172;161
2026-02-18 02:38:11;183;163
2026-02-18 02:38:22;172;159
2026-02-18 02:38:42;167;174
2026-02-18 02:38:52;166;162
2026-02-18 02:39:02;167;152
2026-02-18 02:39:12;163;170
2026-02-18 02:39:22;162;156
2026-02-18 02:39:52;162;141
2026-02-18 02:40:12;172;146
2026-02-18 02:40:22;162;156
2026-02-18 02:40:42;158;169
2026-02-18 02:40:52;153;141
2026-02-18 02:41:12;162;176
2026-02-18 02:41:22;163;151
2026-02-18 02:41:52;173;152
2026-02-18 02:42:02;172;136
2026-02-18 02:42:12;172;160
2026-02-18 02:42:22;157;183
2026-02-18 02:42:32;167;151
2026-02-18 02:43:02;162;161
2026-02-18 02:43:42;169;145
2026-02-18 02:43:52;166;184
2026-02-18 02:44:02;161;166
2026-02-18 02:44:22;162;149
2026-02-18 02:44:42;148;157
2026-02-18 02:44:52;161;162
2026-02-18 02:45:12;167;148
2026-02-18 02:45:22;158;138
2026-02-18 02:45:32;167;160
2026-02-18 02:45:42;155;146
2026-02-18 02:45:52;158;157
2026-02-18 02:47:12;158;127
2026-02-18 02:47:22;162;84
2026-02-18 02:47:42;152;82
2026-02-18 02:48:12;152;17
2026-02-18 02:48:22;161;2
2026-02-18 02:49:22;151;0
2026-02-18 02:49:52;162;0
2026-02-18 02:50:32;151;0
2026-02-18 02:50:52;162;0
2026-02-18 02:51:12;149;0
2026-02-18 02:51:32;161;0
2026-02-18 02:53:12;172;0
2026-02-18 02:53:22;162;0
2026-02-18 02:53:42;178;0
2026-02-18 02:54:02;165;0
2026-02-18 02:54:22;178;0
2026-02-18 02:54:32;162;0
2026-02-18 02:54:42;191;0
2026-02-18 02:54:52;172;0
2026-02-18 02:55:32;187;0
2026-02-18 02:55:52;177;0
2026-02-18 02:56:02;167;0
2026-02-18 02:59:12;157;0
2026-02-18 03:00:02;171;0
2026-02-18 03:00:12;153;0
2026-02-18 03:00:42;163;0
2026-02-18 03:01:42;176;0
2026-02-18 03:01:52;152;0
2026-02-18 03:02:02;164;0
2026-02-18 03:04:02;175;0
2026-02-18 03:04:12;158;0
2026-02-18 03:07:12;168;0
2026-02-18 03:09:12;182;0
2026-02-18 03:09:22;172;0
2026-02-18 03:10:32;162;0
2026-02-18 03:11:03;173;0
2026-02-18 03:11:12;158;0
2026-02-18 03:11:52;172;0
2026-02-18 03:12:02;154;0
2026-02-18 03:13:02;166;0
2026-02-18 03:13:52;153;0
2026-02-18 03:14:22;164;0
2026-02-18 03:17:02;153;0
2026-02-18 03:17:12;163;0
2026-02-18 03:17:43;182;0
2026-02-18 03:17:52;160;0
2026-02-18 03:18:32;170;0
2026-02-18 03:19:33;149;0
2026-02-18 03:19:42;162;0
2026-02-18 03:20:53;150;0
2026-02-18 03:21:13;163;0
2026-02-18 03:21:23;152;0
2026-02-18 03:22:02;138;0
2026-02-18 03:22:13;161;0
2026-02-18 03:23:43;162;276
2026-02-18 03:23:53;152;79
2026-02-18 03:24:03;163;79
2026-02-18 03:24:33;153;81
2026-02-18 03:24:53;162;131
2026-02-18 03:25:03;157;150
2026-02-18 03:25:23;169;125
2026-02-18 03:25:33;170;110
2026-02-18 03:25:53;172;121
2026-02-18 03:26:03;162;152
2026-02-18 03:26:13;169;139
2026-02-18 03:26:23;165;126
2026-02-18 03:26:43;157;113
2026-02-18 03:27:23;163;127
2026-02-18 03:27:33;162;138
2026-02-18 03:27:53;163;170
2026-02-18 03:28:13;151;159
2026-02-18 03:28:33;158;142
2026-02-18 03:28:53;167;170
2026-02-18 03:29:03;162;138
2026-02-18 03:29:13;174;138
2026-02-18 03:29:23;157;151
2026-02-18 03:29:33;170;166
2026-02-18 03:29:43;177;136
2026-02-18 03:29:53;167;143
2026-02-18 03:30:33;167;133
2026-02-18 03:30:43;162;171
2026-02-18 03:30:53;162;155
2026-02-18 03:31:33;163;170
2026-02-18 03:31:43;172;151
2026-02-18 03:31:53;162;170
2026-02-18 03:32:13;158;160
2026-02-18 03:32:53;157;129
2026-02-18 03:33:03;166;149
2026-02-18 03:33:23;168;165
2026-02-18 03:33:33;152;154
2026-02-18 03:33:43;162;172
2026-02-18 03:33:53;167;160
2026-02-18 03:34:03;157;148
2026-02-18 03:34:13;172;153
2026-02-18 03:34:23;157;175
2026-02-18 03:34:33;165;156
2026-02-18 03:34:43;159;180
2026-02-18 03:34:53;160;151
2026-02-18 03:35:14;157;138
2026-02-18 03:35:23;169;166
2026-02-18 03:35:33;153;150
2026-02-18 03:35:43;168;174
2026-02-18 03:35:53;153;133
2026-02-18 03:36:03;152;157
2026-02-18 03:36:13;167;165
2026-02-18 03:36:23;167;139
2026-02-18 03:36:33;158;163
2026-02-18 03:37:03;173;165
2026-02-18 03:37:13;148;150
2026-02-18 03:37:23;160;171
2026-02-18 03:37:43;172;150
2026-02-18 03:37:53;159;144
2026-02-18 03:38:13;167;161
2026-02-18 03:38:43;169;171
2026-02-18 03:38:53;159;171
2026-02-18 03:39:03;171;137
2026-02-18 03:39:13;157;149
2026-02-18 03:39:23;163;178
2026-02-18 03:39:43;181;149
2026-02-18 03:39:53;162;148
2026-02-18 03:40:03;162;171
2026-02-18 03:40:13;167;157
2026-02-18 03:40:23;161;170
2026-02-18 03:40:43;167;147
2026-02-18 03:40:53;165;166
2026-02-18 03:41:03;158;154
2026-02-18 03:41:13;162;168
2026-02-18 03:41:33;163;136
2026-02-18 03:41:43;171;153
2026-02-18 03:41:53;168;165
2026-02-18 03:42:03;162;150
2026-02-18 03:42:23;174;167
2026-02-18 03:42:33;158;156
2026-02-18 03:42:43;162;143
2026-02-18 03:43:03;153;157
2026-02-18 03:43:13;162;142
2026-02-18 03:43:23;164;168
2026-02-18 03:43:33;167;158
2026-02-18 03:43:43;178;169
2026-02-18 03:44:13;167;152
2026-02-18 03:44:23;166;164
2026-02-18 03:44:33;177;169
2026-02-18 03:44:43;167;164
2026-02-18 03:44:53;172;152
2026-02-18 03:45:13;173;168
2026-02-18 03:45:23;169;153
2026-02-18 03:45:33;172;164
2026-02-18 03:45:43;172;152
2026-02-18 03:46:23;162;169
2026-02-18 03:46:33;179;157
2026-02-18 03:46:43;172;171
2026-02-18 03:46:53;168;146
2026-02-18 03:47:03;172;167
2026-02-18 03:47:13;169;147
2026-02-18 03:47:23;184;146
2026-02-18 03:47:33;162;149
2026-02-18 03:48:03;174;166
2026-02-18 03:48:14;172;134
2026-02-18 03:48:23;182;168
2026-02-18 03:48:33;163;167
2026-02-18 03:48:43;163;145
2026-02-18 03:48:53;167;162
2026-02-18 03:49:03;171;183
2026-02-18 03:49:13;175;155
2026-02-18 03:49:23;167;145
2026-02-18 03:49:34;161;167
2026-02-18 03:49:43;163;155
2026-02-18 03:50:03;168;144
2026-02-18 03:50:14;183;170
2026-02-18 03:50:23;158;153
2026-02-18 03:50:54;167;165
2026-02-18 03:51:03;177;158
2026-02-18 03:51:13;177;145
2026-02-18 03:51:24;177;167
2026-02-18 03:51:34;166;166
2026-02-18 03:51:43;177;169
2026-02-18 03:51:53;173;150
2026-02-18 03:52:23;171;161
2026-02-18 03:52:34;178;150
2026-02-18 03:52:43;166;156
2026-02-18 03:52:54;180;169
2026-02-18 03:53:03;166;167
2026-02-18 03:53:24;180;160
2026-02-18 03:53:34;177;147
2026-02-18 03:53:54;180;162
2026-02-18 03:54:23;180;173
2026-02-18 03:54:34;162;155
2026-02-18 03:54:44;177;145
2026-02-18 03:54:53;177;184
2026-02-18 03:55:03;181;152
2026-02-18 03:55:14;187;175
2026-02-18 03:55:24;201;154
2026-02-18 03:55:33;182;161
2026-02-18 03:55:43;181;148
2026-02-18 03:56:03;192;157
2026-02-18 03:56:13;173;168
2026-02-18 03:56:24;184;161
2026-02-18 03:56:44;170;171
2026-02-18 03:56:54;180;157
2026-02-18 03:57:04;173;186
2026-02-18 03:57:14;177;169
2026-02-18 03:57:34;187;164
2026-02-18 03:58:13;177;172
2026-02-18 03:58:23;181;187
2026-02-18 03:58:53;182;160
2026-02-18 03:59:33;172;170
2026-02-18 03:59:44;182;158
2026-02-18 03:59:54;177;192
2026-02-18 04:00:04;192;153
2026-02-18 04:00:14;192;169
2026-02-18 04:00:53;190;159
2026-02-18 04:01:14;211;155
2026-02-18 04:01:24;177;162
2026-02-18 04:01:33;187;155
2026-02-18 04:01:44;192;180
2026-02-18 04:02:13;202;177
2026-02-18 04:02:24;187;155
2026-02-18 04:02:34;197;179
2026-02-18 04:02:44;187;162
2026-02-18 04:02:54;203;166
2026-02-18 04:03:14;182;172
2026-02-18 04:03:24;206;199
2026-02-18 04:03:33;200;183
2026-02-18 04:03:44;197;196
2026-02-18 04:03:54;183;185
2026-02-18 04:04:04;197;173
2026-02-18 04:04:24;196;189
2026-02-18 04:04:34;201;169
2026-02-18 04:05:04;206;179
2026-02-18 04:05:14;203;198
2026-02-18 04:05:24;192;176
2026-02-18 04:05:33;211;166
2026-02-18 04:05:44;201;166
2026-02-18 04:05:54;197;194
2026-02-18 04:06:24;202;174
2026-02-18 04:06:34;221;185
2026-02-18 04:06:44;211;198
2026-02-18 04:06:54;211;181
2026-02-18 04:07:13;221;188
2026-02-18 04:07:24;216;171
2026-02-18 04:07:33;236;198
2026-02-18 04:07:43;246;215
2026-02-18 04:07:54;231;195
2026-02-18 04:08:13;210;177
2026-02-18 04:08:24;172;191
2026-02-18 04:08:43;186;209
2026-02-18 04:08:54;192;186
2026-02-18 04:09:04;177;211
2026-02-18 04:09:14;192;173
2026-02-18 04:09:24;190;206
2026-02-18 04:09:34;192;185
2026-02-18 04:10:04;182;192
2026-02-18 04:10:24;192;191
2026-02-18 04:10:34;165;191
2026-02-18 04:10:43;166;165
2026-02-18 04:10:54;177;184
2026-02-18 04:11:04;183;171
2026-02-18 04:11:14;186;195
2026-02-18 04:11:24;171;196
2026-02-18 04:11:34;181;179
2026-02-18 04:11:44;198;183
2026-02-18 04:12:04;202;193
2026-02-18 04:12:14;201;183
2026-02-18 04:12:34;181;202
2026-02-18 04:12:44;228;216
2026-02-18 04:12:54;251;175
2026-02-18 04:13:04;276;198
2026-02-18 04:13:14;280;186
2026-02-18 04:13:34;271;210
2026-02-18 04:13:44;261;186
2026-02-18 04:13:54;235;208
2026-02-18 04:14:04;206;190
2026-02-18 04:14:14;180;198
2026-02-18 04:14:24;137;218
2026-02-18 04:14:34;145;192
2026-02-18 04:14:44;165;184
2026-02-18 04:14:54;162;209
2026-02-18 04:15:14;158;192
2026-02-18 04:15:24;172;175
2026-02-18 04:15:34;173;214
2026-02-18 04:15:44;191;187
2026-02-18 04:15:54;192;172
2026-02-18 04:16:04;202;218
2026-02-18 04:16:14;212;210
2026-02-18 04:16:24;209;180
